#AS931 and AS213122 Self-published IP Geolocation
#This file contains a self-published geofeed as defined in http://tools.ietf.org/html/draft-google-self-published-geofeeds-02
#Contact: noc@krixe.com/noc@hyonix.com
# California, United States
# LAX1
31.216.59.0/24,US,US-CA,Los Angeles,90012
45.87.61.0/24,US,US-CA,Los Angeles,90012
64.112.85.0/24,US,US-CA,Los Angeles,90012
194.49.68.0/24,US,US-CA,Los Angeles,90012
130.51.42.0/24,US,US-CA,Los Angeles,90012
38.255.42.0/24,US,US-CA,Los Angeles,90012
38.255.43.0/24,US,US-CA,Los Angeles,90012
38.255.34.0/24,US,US-CA,Los Angeles,90012
38.255.35.0/24,US,US-CA,Los Angeles,90012
38.240.36.0/24,US,US-CA,Los Angeles,90012
38.240.37.0/24,US,US-CA,Los Angeles,90012
38.240.55.0/24,US,US-CA,Los Angeles,90012
38.240.56.0/24,US,US-CA,Los Angeles,90012
38.240.57.0/24,US,US-CA,Los Angeles,90012
178.173.244.0/24,US,US-CA,Los Angeles,90012
170.39.184.0/24,US,US-CA,Los Angeles,90012
104.224.30.0/24,US,US-CA,Los Angeles,90012
# Texas, United States
# DAL1
5.252.166.0/24,US,US-TX,Dallas,75247
103.28.70.0/24,US,US-TX,Dallas,75247
45.87.62.0/24,US,US-TX,Dallas,75247
38.255.32.0/24,US,US-TX,Dallas,75207
38.255.33.0/24,US,US-TX,Dallas,75207
38.255.54.0/24,US,US-TX,Dallas,75207
38.255.55.0/24,US,US-TX,Dallas,75207
38.240.48.0/24,US,US-TX,Dallas,75207
38.240.61.0/24,US,US-TX,Dallas,75207
178.173.245.0/24,US,US-TX,Dallas,75207
178.173.246.0/24,US,US-TX,Dallas,75207
170.39.187.0/24,US,US-TX,Dallas,75207
64.112.87.0/24,US,US-TX,Dallas,75207
# Ashburn, United States
# IAD2
64.112.86.0/24,US,US-VA,Ashburn,20147
103.104.248.0/24,US,US-VA,Ashburn,20147
144.172.72.0/24,US,US-VA,Ashburn,20147
130.51.41.0/24,US,US-VA,Ashburn,20147
130.51.40.0/24,US,US-VA,Ashburn,20147
161.129.44.0/24,US,US-VA,Ashburn,20147
167.94.7.0/24,US,US-VA,Ashburn,20147
167.94.158.0/24,US,US-VA,Ashburn,20147
161.129.33.0/24,US,US-VA,Ashburn,20147
161.129.40.0/24,US,US-VA,Ashburn,20147
161.129.47.0/24,US,US-VA,Ashburn,20147
161.129.36.0/24,US,US-VA,Ashburn,20147
161.129.37.0/24,US,US-VA,Ashburn,20147
161.129.38.0/24,US,US-VA,Ashburn,20147
66.118.237.0/24,US,US-VA,Ashburn,20147
104.249.130.0/24,US,US-VA,Ashburn,20147
185.162.75.0/24,US,US-VA,Ashburn,20147
45.61.171.0/24,US,US-VA,Ashburn,20147
45.143.146.0/24,US,US-VA,Ashburn,20147
170.39.185.0/24,US,US-VA,Ashburn,20147
194.49.79.0/24,US,US-VA,Ashburn,20147
38.255.36.0/24,US,US-VA,Ashburn,20147
38.255.37.0/24,US,US-VA,Ashburn,20147
38.255.38.0/24,US,US-VA,Ashburn,20147
38.255.51.0/24,US,US-VA,Ashburn,20147
38.255.52.0/24,US,US-VA,Ashburn,20147
38.240.49.0/24,US,US-VA,Ashburn,20147
38.240.50.0/24,US,US-VA,Ashburn,20147
38.240.51.0/24,US,US-VA,Ashburn,20147
104.224.29.0/24,US,US-VA,Ashburn,20147
# New Jersey, United States
# NYC1
38.240.63.0/24,US,US-NJ,Secaucus,07094
103.104.249.0/24,US,US-NJ,Secaucus,07094
104.224.28.0/24,US,US-NJ,Secaucus,07094
194.49.69.0/24,US,US-NJ,Secaucus,07094
45.61.168.0/24,US,US-NJ,Secaucus,07094
45.61.175.0/24,US,US-NJ,Secaucus,07094
167.94.81.0/24,US,US-NJ,Secaucus,07094
128.254.193.0/24,US,US-NJ,Secaucus,07094
128.254.194.0/24,US,US-NJ,Secaucus,07094
128.254.195.0/24,US,US-NJ,Secaucus,07094
45.143.145.0/24,US,US-NJ,Secaucus,07094
66.118.239.0/24,US,US-NJ,Secaucus,07094
104.249.131.0/24,US,US-NJ,Secaucus,07094
38.255.39.0/24,US,US-NJ,Secaucus,07094
38.255.40.0/24,US,US-NJ,Secaucus,07094
38.255.41.0/24,US,US-NJ,Secaucus,07094
38.255.53.0/24,US,US-NJ,Secaucus,07094
38.255.56.0/24,US,US-NJ,Secaucus,07094
38.255.57.0/24,US,US-NJ,Secaucus,07094
38.255.63.0/24,US,US-NJ,Secaucus,07094
38.240.38.0/24,US,US-NJ,Secaucus,07094
38.240.39.0/24,US,US-NJ,Secaucus,07094
